138	^(R(^(R(R(^(^(#)),#,0),^(^(^(0))),#)),^(^(0)),^(^(0))))
139	^(^(R(^(R(R(^(^(#)),#,0),^(^(^(0))),#)),^(^(0)),^(^(0)))))
140	R(^(^(R(R(^(^(^(#))),#,^(^(^(0)))),^(^(0)),#))),0,^(^(0)))
141	R(^(^(R(R(^(^(^(#))),#,^(0)),^(^(0)),#))),^(0),^(^(0)))
142	^(R(^(^(R(R(^(^(^(#))),#,^(0)),^(^(0)),#))),^(0),^(^(0))))
143	R(R(^(^(#)),#,^(0)),^(^(^(^(^(^(^(^(0)))))))),^(^(^(^(0)))))
144	R(R(^(^(^(^(^(^(#)))))),#,0),^(^(^(^(0)))),^(^(0)))
145	^(R(R(^(^(^(^(^(^(#)))))),#,0),^(^(^(^(0)))),^(^(0))))
146	R(^(^(R(R(^(^(#)),#,0),^(^(^(0))),#))),0,^(^(^(0))))
147	R(R(^(^(^(^(^(^(^(#))))))),#,0),^(^(^(0))),^(^(0)))
148	R(R(^(^(^(#))),#,^(0)),^(^(^(^(^(0))))),^(^(^(0))))
149	R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(^(0))))
150	^(R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(^(0)))))
151	^(^(R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(^(0))))))
152	^(^(^(R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(^(0)))))))
153	^(^(^(^(R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(^(0))))))))
154	R(^(^(^(R(R(^(^(#)),#,^(0)),^(^(^(0))),#)))),^(0),^(^(0)))
155	R(R(^(^(#)),#,^(^(^(^(^(0)))))),0,^(^(^(^(^(0))))))
156	R(R(^(^(^(^(^(#))))),#,^(0)),0,^(^(^(^(0)))))
157	^(R(R(^(^(^(^(^(#))))),#,^(0)),0,^(^(^(^(0))))))
158	R(R(^(^(#)),#,^(^(0))),^(^(^(0))),^(^(^(^(^(0))))))
159	R(R(^(^(#)),#,^(0)),^(^(^(^(0)))),^(^(^(^(^(0))))))
160	R(R(^(^(^(#))),#,^(^(^(^(0))))),0,^(^(^(^(0)))))
161	R(R(^(^(^(#))),#,^(^(0))),^(0),^(^(^(^(0)))))
162	R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0)))))
163	^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0))))))
164	^(^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0)))))))
165	^(^(^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0))))))))
166	^(^(^(^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0)))))))))
167	^(^(^(^(^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(^(0))))))))))
168	R(^(^(R(R(^(^(#)),#,^(^(0))),^(^(0)),#))),0,^(^(^(0))))
169	R(R(^(^(^(^(#)))),#,^(^(^(^(^(0)))))),^(0),^(^(^(0))))
170	R(R(^(^(^(^(#)))),#,^(^(0))),0,^(^(^(^(0)))))
171	^(R(R(^(^(^(^(#)))),#,^(^(0))),0,^(^(^(^(0))))))
172	^(^(R(R(^(^(^(^(#)))),#,^(^(0))),0,^(^(^(^(0)))))))
173	^(^(^(R(R(^(^(^(^(#)))),#,^(^(0))),0,^(^(^(^(0))))))))
174	R(R(^(^(^(#))),#,^(^(^(0)))),^(^(^(^(^(0))))),^(^(^(0))))
